url	type	value
59.accueil-etrangers.gouv.fr	google maps	http://maps.googleapis.com/maps/api/js?v=3.exp&sensor=false
59.accueil-etrangers.gouv.fr	xiti	http://logi241.xiti.com/hit.xiti?s=477737&s2=201&p=accueil_etrangers&hl=0x1x54&vrn=1&amp;ac=&amp;an=&lng=en-US&vtag=41002-31011&idp=0001548351763&jv=0&r=1920x1200x24x24&re=800x600&ref=
92.accueil-etrangers.gouv.fr	google maps	http://maps.googleapis.com/maps/api/js?v=3.exp&sensor=false
92.accueil-etrangers.gouv.fr	xiti	http://logi241.xiti.com/hit.xiti?s=477737&s2=201&p=accueil_etrangers&hl=0x1x54&vrn=1&amp;ac=&amp;an=&lng=en-US&vtag=41002-31011&idp=0001542676279&jv=0&r=1920x1200x24x24&re=800x600&ref=
94.accueil-etrangers.gouv.fr	google maps	http://maps.googleapis.com/maps/api/js?v=3.exp&sensor=false
94.accueil-etrangers.gouv.fr	xiti	http://logi241.xiti.com/hit.xiti?s=477737&s2=201&p=accueil_etrangers&hl=0x1x54&vrn=1&amp;ac=&amp;an=&lng=en-US&vtag=41002-31011&idp=0001542121028&jv=0&r=1920x1200x24x24&re=800x600&ref=
ac-aix-marseille.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css
ac-aix-marseille.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto
ac-amiens.fr	twitter	https://platform.twitter.com/widgets.js
ac-amiens.fr	google analytics	https://www.google-analytics.com/analytics.js
ac-besancon.fr	twitter	https://platform.twitter.com/widgets.js
ac-besancon.fr	google analytics	http://www.google-analytics.com/ga.js
ac-bordeaux.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css
ac-bordeaux.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto
ac-bordeaux.fr	twitter	http://platform.twitter.com/widgets.js
ac-caen.fr	facebook	https://connect.facebook.net/fr_FR/sdk.js
ac-caen.fr	twitter	https://platform.twitter.com/widgets.js
ac-caen.fr	instagram	https://www.instagram.com/embed.js
ac-clermont.fr	twitter	http://platform.twitter.com/widgets.js
ac-clermont.fr	google analytics	http://www.google-analytics.com/ga.js
ac-clermont.fr	xiti	http://logc20.xiti.com/hit.xiti?s=332660&p=&vrn=1&ac=&an=&lng=en-US&idp=0001595115943&jv=0&re=800x600&vtag=4.6.4&hl=0x1x59&r=1920x1200x24x24&rn=1602021719443&ref=
ac-corse.fr	google tag manager	https://www.googletagmanager.com/gtag/js?id=UA-4629924-1
ac-corse.fr	twitter	http://platform.twitter.com/widgets.js
ac-corse.fr	google analytics	https://www.google-analytics.com/analytics.js
ac-creteil.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css
ac-creteil.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto
ac-creteil.fr	google analytics	http://www.google-analytics.com/analytics.js
ac-creteil.fr	twitter	http://platform.twitter.com/widgets.js
ac-dijon.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css
ac-dijon.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto
ac-dijon.fr	twitter	http://platform.twitter.com/widgets.js
ac-grenoble.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css
ac-grenoble.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto
ac-guyane.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css
ac-guyane.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto
ac-guyane.fr	twitter	https://platform.twitter.com/widgets.js
ac-lille.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css
ac-lille.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto
ac-martinique.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css
ac-martinique.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto
ac-martinique.fr	twitter	http://platform.twitter.com/widgets.js
ac-martinique.fr	google tag manager	https://www.googletagmanager.com/gtag/js?id=UA-28708404-1
ac-martinique.fr	google analytics	https://www.google-analytics.com/analytics.js
ac-mayotte.fr	twitter	https://platform.twitter.com/widgets.js
ac-mayotte.fr	youtube	https://www.youtube.com/embed/QY5f2paxcwM
ac-mayotte.fr	google analytics	https://googleads.g.doubleclick.net/pagead/id
ac-mayotte.fr	google fonts	https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4AMP6lQ.woff2
ac-nancy-metz.fr	twitter	http://platform.twitter.com/widgets.js
ac-nantes.fr	xiti	https://logs2.xiti.com/hit.xiti?s=319535&s2=1&p=accueil&hl=0x2x8&di=1&lng=en-US&r=1920x1200x24x24&re=800x600&ref=
ac-nice.fr	cloudflare	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css
ac-nice.fr	google fonts	https://fonts.googleapis.com/css?family=Roboto
